Name	Global_Rank	US_Rank	Framework	Ecommerce	Analytics
amazon.co.jp	51		"Shockwave Flash Embed"	"Cart Functionality,Amazon Webstore"		amazon.co.jp	51		"Shockwave Flash Embed,PHP"	"Cart Functionality,Amazon Webstore"	"DoubleClick Floodlight,Omniture SiteCatalyst"
deciopasta.com	5,881,805		DAV,PHP		
bobsredmill.com	46,645	10,974	PHP	X-Cart	"Google Analytics,Lexity,Twitter Analytics"
bodybuilding.com	554	256	PHP,J2EE	"Cart Functionality,ATG Commerce"	"Facebook Domain Insights,comScore,Omniture SiteCatalyst"
aapasta.com				"Miva Merchant"	StatCounter
barnesandnoble.com	763	213	PHP,ASP_NET,J2EE		"Facebook Domain Insights,Google Analytics,Google eCommerce Conversion Tracking,iPerceptions,Coremetrics,DoubleClick Floodlight"
bistromd.com	92,425	18,509	"ASP_NET Ajax,Shockwave Flash Embed,Telerik Controls"		"UpSellit,Google Analytics,Preact,Marketo,Google Analytics with Ad Tracking,Google Content Experiments,CrazyEgg,Google eCommerce Conversion Tracking,SteelHouse"
bestbuy.ca	2,920		"ASP_NET Ajax"	"Ascentium Commerce Server,Cart Functionality"	"Facebook Domain Insights,Google Analytics,comScore,Omniture SiteCatalyst,ForeSee Results"
berries.com	32,182	6,801	"Visual Studio"		"Buysight,Convertro,Mercent,Omniture SiteCatalyst,OpinionLab"
bhphotovideo.com	746	297	J2EE	"Cart Functionality"	"Facebook Domain Insights,Google Analytics,Coremetrics"

omahasteaks.com	17,326	4,675	J2EE		"CrazyEgg,Real Media Group,Google eCommerce Conversion Tracking,Preact,Dotomi,Omniture SiteCatalyst"
northernbrewer.com	37,050	8,148	PHP	Magento	"Facebook Domain Insights,Google Analytics,Pingdom RUM,Google Analytics Anonymize IP,Optimizely,Datalogix,HitTail - Long Tail Keyword Marketing"
peapod.com	23,134	4,034	J2EE		"Google Analytics,TagMan,Facebook Conversion Tracking,StatCounter,Quantcast Measurement,SteelHouse,DoubleClick Floodlight,Twitter Analytics"
nuts.com	30,097	7,070			"Google Analytics,Google Analytics Enchanced Link Attribution,Google Analytics with Ad Tracking,Agilone"
walmart.com	139	39	"Ruby on Rails,Perl,J2EE,Ruby on Rails Token"		"Facebook Domain Insights,Bazaarvoice,Google Analytics,Nielsen//NetRatings,SiteSpect,DoubleClick Floodlight,Omniture SiteCatalyst"
wine.com	17,094	3,930	"ASP_NET Ajax,ASP_NET"	"Cart Functionality"	"Facebook Domain Insights,Google Analytics,New Relic,MediaMath,Omniture SiteCatalyst,BloomReach,Google Universal Analytics,Strangeloop,Optimizely,Quantcast Measurement"
sunwarrior.com	43,312	11,004	PHP	"Cart Functionality"	"ClickTale,Facebook Domain Insights,Google Analytics,Google Analytics Enchanced Link Attribution,HitTail - Long Tail Keyword Marketing"
sky.fm	6,739	10,569	"Ruby on Rails,PHP,Ruby on Rails Token"		"Facebook Domain Insights,Google Analytics,New Relic,Google eCommerce Conversion Tracking,Google Analytics with Ad Tracking"
savoiafoods.com					
rossipasta.com	4,484,642			"Cart Functionality"	"Google Analytics"
zappos.com	619	222		"Cart Functionality"	"Facebook Domain Insights,Google Analytics,Quantcast Measurement,Atlas Action Tags,DoubleClick Floodlight"
overstock.com	612	175		"Cart Functionality"	"Facebook Domain Insights,Datalogix,Buysight,Efficient Frontier,Omniture Adobe Test and Target,Omniture SiteCatalyst,Lotame Crowd Control,Neustar AdAdvisor,Quantcast Measurement,Dotomi,OwnerIQ,Google Analytics,Omniture Adobe Test and Target mboxCreate,Compuware Analytics,FiftyOne,MediaMath,MediaMind,Rapleaf,Google eCommerce Conversion Tracking,Invite Media,SiteSpect,ForeSee Results"
target.com	239	64	PHP,J2EE	"IBM Websphere Commerce"	"Facebook Domain Insights,Google Analytics,Compuware Analytics,MediaMath,SiteSpect,Omniture SiteCatalyst,ForeSee Results"
thewhiskyexchange.com	33,200				"Facebook Domain Insights,Google Analytics"
teavana.com	26,271	6,269	"ASP_NET Ajax"		"Facebook Domain Insights,Google Analytics,Coremetrics,Marin Software,Search Discovery Satellite,Mercent,Google eCommerce Conversion Tracking,Optimizely,SteelHouse,Satellite"
nordstrom.com	580	189	"ASP_NET MVC,ASP_NET"		"Facebook Domain Insights,Maxymiser,FiftyOne,Coremetrics,BrightTag,OpinionLab,ForeSee Results"
pastashoppe.com	397,994		PHP		"comScore,Google Analytics"
springfieldpasta.com	10,702,729		"Shockwave Flash Embed,Adobe Dreamweaver"		
schwans.com	40,796	9,774	"ASP_NET Ajax,ASP_NET"	"Cart Functionality"	"Facebook Domain Insights,Omniture Adobe Test and Target mboxCreate,Datalogix,Omniture SiteCatalyst,Chartbeat,Google eCommerce Conversion Tracking,Quantcast Measurement,DoubleClick Floodlight,Twitter Analytics,ForeSee Results"
sears.com	558	152	PHP,ASP_NET,J2EE		"Google Analytics,Omniture Adobe Test and Target mboxCreate,Datalogix,MediaMath,Omniture Adobe Test and Target,BrightTag,Omniture SiteCatalyst,BloomReach,Google eCommerce Conversion Tracking,Neustar AdAdvisor,Rapleaf,DoubleClick Floodlight,Acxiom,Kenshoo,Twitter Analytics"
staples.com	764	192	"Shockwave Flash Embed,J2EE"		"Facebook Domain Insights,Omniture Adobe Test and Target mboxCreate,MediaMath,Coremetrics,Omniture Adobe Test and Target,Omniture SiteCatalyst,Runa,Interclick,BloomReach,Certona,DoubleClick Floodlight,OwnerIQ"
flyingnoodle.com	1,504,601	336,845	ASP_NET		"Google Analytics"
ikea.com	247	278	"Shockwave Flash Embed"	"IBM Websphere Commerce"	"Facebook Domain Insights,Google Analytics,WebTrends,DoubleClick Floodlight,Omniture SiteCatalyst"
lowes.com	782	184		"IBM Websphere Commerce"	"Omniture Adobe Test and Target mboxCreate,Omniture Adobe Test and Target,Omniture SiteCatalyst,ForeSee Results"
macys.com	469	138			"Facebook Domain Insights,Bazaarvoice,FiftyOne,Omniture Adobe Test and Target mboxCreate,MediaMath,Datalogix,Coremetrics,Omniture Adobe Test and Target,Omniture SiteCatalyst,BrightTag,Rapleaf,DoubleClick Floodlight,Monetate,Acxiom"
newegg.com	405	121	ASP_NET	ShopRunner	"Google Analytics,comScore,Datalogix,Coremetrics,Omniture SiteCatalyst,Sidecar,BloomReach,MediaMind,Google Universal Analytics,Google eCommerce Conversion Tracking,DoubleClick Floodlight,Monetate,OwnerIQ,Twitter Analytics"
ebay.co.uk	98		"Shockwave Flash Embed,J2EE"		"Facebook Domain Insights"	ebay.co.uk	98		"Shockwave Flash Embed,PHP,J2EE"		"Facebook Domain Insights,Insight Express,comScore,MediaMath,VoiceFive"
godiva.com	42,245	13,388		"ATG Commerce,Demandware"	"comScore,Google Analytics,MediaMath,Atlas Action Tags,Coremetrics,Marin Software,Google eCommerce Conversion Tracking,Quantcast Measurement,DoubleClick Floodlight,Dotomi,Monetate,ForeSee Results"
groupon.com	356	91	"Ruby on Rails,Ruby on Rails Token"		"Facebook Domain Insights,ChannelAdvisor,New Relic,KISSmetrics,Google Analytics,Google eCommerce Conversion Tracking,DoubleClick Floodlight"
midwestsupplies.com	43,140	9,480	PHP	"Magento,Magento Enterprise"	"Google Analytics Anonymize IP,Google Analytics,Optimizely,Google eCommerce Conversion Tracking,Marin Software,Twitter Analytics"
